suite,impl,flags,threads,matrix_size,repetition,wall_time_ms
cache,seq_cache,"-Wall",0,400,1,149.266
cache,seq_cache,"-Wall",0,800,1,1164.373
cache,seq_cache,"-Wall",0,1600,1,9324.405
cache,seq_cache,"-Wall",0,3200,1,74720.618
cache,seq_cache,"-Wall",0,400,2,145.776
cache,seq_cache,"-Wall",0,800,2,1164.345
cache,seq_cache,"-Wall",0,1600,2,9338.473
cache,seq_cache,"-Wall",0,3200,2,74749.358
cache,seq_cache,"-Wall",0,400,3,146.841
cache,seq_cache,"-Wall",0,800,3,1166.793
cache,seq_cache,"-Wall",0,1600,3,9330.197
cache,seq_cache,"-Wall",0,3200,3,74686.730
cache,seq_cache,"-Wall",0,400,4,148.514
cache,seq_cache,"-Wall",0,800,4,1168.687
cache,seq_cache,"-Wall",0,1600,4,9332.290
cache,seq_cache,"-Wall",0,3200,4,74683.145
cache,seq_cache,"-Wall",0,400,5,145.732
cache,seq_cache,"-Wall",0,800,5,1166.323
cache,seq_cache,"-Wall",0,1600,5,9327.693
cache,seq_cache,"-Wall",0,3200,5,74707.249
cache,seq_cache,"-Wall",0,6400,1,598025.731
cache,seq_cache,"-Wall",0,6400,2,599668.009
cache,seq_cache,"-Wall",0,6400,3,599701.999
cache,seq_cache,"-Wall",0,6400,4,599904.723
cache,seq_cache,"-Wall",0,6400,5,599659.017
cache,seq_cache,"-Wall",0,400,6,146.931
cache,seq_cache,"-Wall",0,800,6,1165.958
cache,seq_cache,"-Wall",0,1600,6,9328.194
cache,seq_cache,"-Wall",0,3200,6,74756.151
cache,seq_cache,"-Wall",0,6400,6,599633.795
cache,seq_cache,"-Wall",0,400,7,146.686
cache,seq_cache,"-Wall",0,800,7,1167.340
cache,seq_cache,"-Wall",0,1600,7,9332.661
cache,seq_cache,"-Wall",0,3200,7,74740.884
cache,seq_cache,"-Wall",0,6400,7,599626.095
cache,seq_cache,"-Wall",0,400,8,146.543
cache,seq_cache,"-Wall",0,800,8,1166.599
cache,seq_cache,"-Wall",0,1600,8,9336.166
cache,seq_cache,"-Wall",0,3200,8,74683.460
cache,seq_cache,"-Wall",0,6400,8,599310.805
cache,seq_cache,"-Wall",0,400,9,146.725
cache,seq_cache,"-Wall",0,800,9,1168.452
cache,seq_cache,"-Wall",0,1600,9,9340.401
cache,seq_cache,"-Wall",0,3200,9,74683.827
cache,seq_cache,"-Wall",0,6400,9,597652.492
cache,seq_cache,"-Wall",0,400,10,147.345
cache,seq_cache,"-Wall",0,800,10,1169.849
cache,seq_cache,"-Wall",0,1600,10,9334.826
cache,seq_cache,"-Wall",0,3200,10,74695.346
cache,seq_cache,"-Wall",0,6400,10,599768.751
